ReadID	SampleName	SampleID	ReadLength	ReadAvgQualScore
GSXD9VZ02F1SG6	10_D_B02_2010_12_17_2	10_D_B02	422	32
GSXD9VZ02GQP9C	10_D_B02_2010_12_17_2	10_D_B02	222	30
GSXD9VZ02J3RKZ	10_D_B02_2010_12_17_2	10_D_B02	234	32
GSXD9VZ02JJA34	10_D_B02_2010_12_17_2	10_D_B02	509	35
GSXD9VZ02G2XA4	10_D_B02_2010_12_17_2	10_D_B02	493	34
GSXD9VZ02I0N65	10_D_B02_2010_12_17_2	10_D_B02	503	36
GSXD9VZ02GI4K9	10_D_B02_2010_12_17_2	10_D_B02	482	36
GSXD9VZ02FR0EN	10_D_B02_2010_12_17_2	10_D_B02	493	35
GSXD9VZ02H7Y2M	10_D_B02_2010_12_17_2	10_D_B02	512	36
GSXD9VZ02ICVZZ	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02IJ9WQ	10_D_B02_2010_12_17_2	10_D_B02	406	33
GSXD9VZ02F9FX2	10_D_B02_2010_12_17_2	10_D_B02	467	36
GSXD9VZ02JI650	10_D_B02_2010_12_17_2	10_D_B02	492	36
GSXD9VZ02GNCFU	10_D_B02_2010_12_17_2	10_D_B02	484	37
GSXD9VZ02HRM05	10_D_B02_2010_12_17_2	10_D_B02	525	36
GSXD9VZ02HFWV9	10_D_B02_2010_12_17_2	10_D_B02	493	36
GSXD9VZ02FPHZP	10_D_B02_2010_12_17_2	10_D_B02	481	36
GSXD9VZ02HXMHJ	10_D_B02_2010_12_17_2	10_D_B02	528	34
GSXD9VZ02IA81A	10_D_B02_2010_12_17_2	10_D_B02	516	36
GSXD9VZ02G4330	10_D_B02_2010_12_17_2	10_D_B02	511	36
GSXD9VZ02GCQ84	10_D_B02_2010_12_17_2	10_D_B02	482	37
GSXD9VZ02IXQQC	10_D_B02_2010_12_17_2	10_D_B02	309	32
GSXD9VZ02JVQ58	10_D_B02_2010_12_17_2	10_D_B02	508	34
GSXD9VZ02HURB7	10_D_B02_2010_12_17_2	10_D_B02	513	35
GSXD9VZ02GHDYC	10_D_B02_2010_12_17_2	10_D_B02	487	35
GSXD9VZ02ID4IJ	10_D_B02_2010_12_17_2	10_D_B02	470	35
GSXD9VZ02FMLFW	10_D_B02_2010_12_17_2	10_D_B02	485	34
GSXD9VZ02HQYXZ	10_D_B02_2010_12_17_2	10_D_B02	524	34
GSXD9VZ02HVQ9S	10_D_B02_2010_12_17_2	10_D_B02	346	32
GSXD9VZ02JQFAD	10_D_B02_2010_12_17_2	10_D_B02	496	37
GSXD9VZ02ISKQX	10_D_B02_2010_12_17_2	10_D_B02	509	35
GSXD9VZ02IEZ9R	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02IQBWG	10_D_B02_2010_12_17_2	10_D_B02	521	34
GSXD9VZ02H7IR1	10_D_B02_2010_12_17_2	10_D_B02	225	28
GSXD9VZ02H9XBA	10_D_B02_2010_12_17_2	10_D_B02	468	32
GSXD9VZ02F4PMQ	10_D_B02_2010_12_17_2	10_D_B02	503	29
GSXD9VZ02G5AGD	10_D_B02_2010_12_17_2	10_D_B02	496	35
GSXD9VZ02IQ37V	10_D_B02_2010_12_17_2	10_D_B02	505	35
GSXD9VZ02H0IX9	10_D_B02_2010_12_17_2	10_D_B02	507	35
GSXD9VZ02H40Q7	10_D_B02_2010_12_17_2	10_D_B02	490	36
GSXD9VZ02FWA00	10_D_B02_2010_12_17_2	10_D_B02	526	35
GSXD9VZ02JQRUT	10_D_B02_2010_12_17_2	10_D_B02	200	32
GSXD9VZ02JDNT8	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02G1P97	10_D_B02_2010_12_17_2	10_D_B02	492	37
GSXD9VZ02FTLO7	10_D_B02_2010_12_17_2	10_D_B02	495	36
GSXD9VZ02GX9GP	10_D_B02_2010_12_17_2	10_D_B02	510	35
GSXD9VZ02G99AO	10_D_B02_2010_12_17_2	10_D_B02	471	37
GSXD9VZ02GJLS5	10_D_B02_2010_12_17_2	10_D_B02	486	36
GSXD9VZ02IXPLG	10_D_B02_2010_12_17_2	10_D_B02	454	30
GSXD9VZ02G3FGP	10_D_B02_2010_12_17_2	10_D_B02	479	37
GSXD9VZ02F9CTC	10_D_B02_2010_12_17_2	10_D_B02	534	34
GSXD9VZ02HG4SP	10_D_B02_2010_12_17_2	10_D_B02	495	35
GSXD9VZ02H54UD	10_D_B02_2010_12_17_2	10_D_B02	469	36
GSXD9VZ02JNFWM	10_D_B02_2010_12_17_2	10_D_B02	399	27
GSXD9VZ02HJTPN	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02FRYH0	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02IKAJZ	10_D_B02_2010_12_17_2	10_D_B02	479	35
GSXD9VZ02IXVGQ	10_D_B02_2010_12_17_2	10_D_B02	479	37
GSXD9VZ02JH43O	10_D_B02_2010_12_17_2	10_D_B02	500	34
GSXD9VZ02JAXYV	10_D_B02_2010_12_17_2	10_D_B02	513	36
GSXD9VZ02FPQOC	10_D_B02_2010_12_17_2	10_D_B02	488	37
GSXD9VZ02ILEPV	10_D_B02_2010_12_17_2	10_D_B02	498	35
GSXD9VZ02JWS0W	10_D_B02_2010_12_17_2	10_D_B02	480	33
GSXD9VZ02H1XVS	10_D_B02_2010_12_17_2	10_D_B02	507	37
GSXD9VZ02H0VW1	10_D_B02_2010_12_17_2	10_D_B02	496	36
GSXD9VZ02IN70R	10_D_B02_2010_12_17_2	10_D_B02	494	36
GSXD9VZ02HO076	10_D_B02_2010_12_17_2	10_D_B02	481	36
GSXD9VZ02JHBL5	10_D_B02_2010_12_17_2	10_D_B02	248	35
GSXD9VZ02GSZ48	10_D_B02_2010_12_17_2	10_D_B02	486	37
